"Книга","Автор","Ссылка"
"Ким (роман)","Киплинг, Редьярд","https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BC_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Чужестранка (роман)","Гэблдон, Диана","https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%B6%D0%B5%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BA%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Моби Дик (роман)","Мелвилл, Герман","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B1%D0%B8_%D0%94%D0%B8%D0%BA_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Песнь на закате (страница отсутствует)","Гиббон, Льюис Грессик (страница отсутствует)",NA
"Корабельные новости","Пру, Энни","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5_%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8"
"Божество реки","Смит, Уилбур","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D1%80%D0%B5%D0%BA%D0%B8"
"Мир глазами Гарпа","Ирвинг, Джон Уинслоу","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80_%D0%B3%D0%BB%D0%B0%D0%B7%D0%B0%D0%BC%D0%B8_%D0%93%D0%B0%D1%80%D0%BF%D0%B0"
"Лорна Дун (роман, 1869)","Блэкмор, Ричард","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%80%D0%BD%D0%B0_%D0%94%D1%83%D0%BD_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD,_1869)"
"Девчонки гуляют допоздна (страница отсутствует)","Уилсон, Жаклин",NA
"Далёкие шатры (страница отсутствует)","Кей, Мэри Маргарет",NA
"Ведьмы (роман) (страница отсутствует)","Даль, Роальд",NA
"Паутина Шарлотты (книга)","Уайт, Элвин Брукс","https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%83%D1%82%D0%B8%D0%BD%D0%B0_%D0%A8%D0%B0%D1%80%D0%BB%D0%BE%D1%82%D1%82%D1%8B_(%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0)"
"Франкенштейн, или Современный Прометей","Шелли, Мэри Уолстонкрафт","https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD,_%D0%B8%D0%BB%D0%B8_%D0%A1%D0%BE%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%9F%D1%80%D0%BE%D0%BC%D0%B5%D1%82%D0%B5%D0%B9"
"Они играли на траве (страница отсутствует)","Венейблс, Терри",NA
"Старик и море (повесть)","Хемингуэй, Эрнест","https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D0%B8%D0%BA_%D0%B8_%D0%BC%D0%BE%D1%80%D0%B5_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)"
"Лолита (роман)","Набоков, Владимир Владимирович","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BB%D0%B8%D1%82%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Имя розы","Эко, Умберто","https://ru.wikipedia.org/wiki/%D0%98%D0%BC%D1%8F_%D1%80%D0%BE%D0%B7%D1%8B"
"Мир Софии","Гордер, Юстейн","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80_%D0%A1%D0%BE%D1%84%D0%B8%D0%B8"
"Девочка-находка (страница отсутствует)","Уилсон, Жаклин",NA
"Изумительный мистер Лис","Даль, Роальд","https://ru.wikipedia.org/wiki/%D0%98%D0%B7%D1%83%D0%BC%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B8%D1%81%D1%82%D0%B5%D1%80_%D0%9B%D0%B8%D1%81"
