"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
17,"Прибытие","    A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world.",116,"Drama",7.9,81,497070,100.55,"Denis Villeneuve","Amy Adams"
18,"Пассажиры","    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",116,"Drama",7,41,301685,100.01,"Morten Tyldum","Jennifer Lawrence"
19,"Любой ценой","    A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.",102,"Action",7.6,88,170385,26.86,"David Mackenzie","Chris Pine"
20,"Доктор Стрэндж","    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",115,"Action",7.5,72,481440,232.64,"Scott Derrickson","Benedict Cumberbatch"
21,"Первый мститель: Противостояние","    Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.",147,"Action",7.8,75,550113,408.08,"Anthony Russo","Chris Evans"
22,"Девушка в поезде","    A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.",112,"Crime",6.5,48,146670,75.4,"Tate Taylor","Emily Blunt"
23,"Зверополис","    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108,"Animation",8,78,371761,341.27,"Byron Howard","Ginnifer Goodwin"
24,"Бэтмен против Супермена: На заре справедливости","    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",151,"Action",6.5,44,564074,330.36,"Zack Snyder","Ben Affleck"
25,"Моана","    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",107,"Animation",7.6,81,216194,248.76,"Ron Clements","Auli'i Cravalho"
26,"Демон внутри","    A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",86,"Horror",6.8,65,71969,NA,"Andre Ovredal","Brian Cox"
27,"Скрытые фигуры","    The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.",127,"Biography",7.8,74,165366,169.61,"Theodore Melfi","Taraji P. Henson"
28,"Невидимый гость","    While the clock is ticking, with the aid of a witness preparation expert, a successful entrepreneur accused of murder has less than three hours to come up with an impregnable defence.",106,"Crime",8.1,NA,76057,NA,"Oriol Paulo","Mario Casas"
29,"Славные парни","    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",116,"Action",7.4,70,233165,36.26,"Shane Black","Russell Crowe"
30,"Иллюзия обмана 2","    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",129,"Action",6.5,46,208904,65.08,"Jon M. Chu","Jesse Eisenberg"
31,"Преступник","    In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",113,"Action",6.3,36,50539,14.27,"Ariel Vromen","Kevin Costner"
32,"Охотники за привидениями","    Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",116,"Action",5.2,60,183159,128.34,"Paul Feig","Melissa McCarthy"
33,"Союзники","    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",124,"Action",7.1,60,122130,40.07,"Robert Zemeckis","Brad Pitt"
34,"Твое имя","    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",106,"Animation",8.4,79,123799,5.02,"Makoto Shinkai","Ryunosuke Kamiki"
35,"Манчестер у моря","    A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.",137,"Drama            ",7.8,96,208335,47.7,"Kenneth Lonergan","Casey Affleck"
36,"Капитан Фантастик","    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",118,"Comedy",7.9,72,153984,5.88,"Matt Ross","Viggo Mortensen"
37,"5-я волна","    Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",112,"Action",5.2,33,88788,34.91,"J Blakeson","Chloe Grace Moretz"
38,"Расплата","    As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",128,"Action",7.3,51,227964,86.26,"Gavin O'Connor","Ben Affleck"
39,"Стартрек: Бесконечность","    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",122,"Action",7.1,68,205951,158.85,"Justin Lin","Chris Pine"
40,"Боги Египта","    Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",127,"Action",5.4,25,92863,31.15,"Alex Proyas","Brenton Thwaites"
41,"Не стучи дважды","    A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.",93,"Horror            ",5.1,45,10082,NA,"Caradog W. James","Katee Sackhoff"
42,"Джейсон Борн","    The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.",123,"Action",6.6,58,186975,162.43,"Paul Greengrass","Matt Damon"
43,"13 часов: Тайные солдаты Бенгази","    During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",144,"Action",7.3,48,100827,52.85,"Michael Bay","John Krasinski"
44,"Книга джунглей","    After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",106,"Adventure",7.4,77,237250,364,"Jon Favreau","Neel Sethi"
45,"Кредо убийцы","    Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",115,"Action",5.8,36,163005,54.65,"Justin Kurzel","Michael Fassbender"
46,"Персональный покупатель","    A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.",105,"Drama",6.2,77,28928,1.31,"Olivier Assayas","Kristen Stewart"
47,"Дом странных детей Мисс Перегрин","    When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",127,"Adventure",6.7,57,137504,87.24,"Tim Burton","Eva Green"
48,"Монстры существуют","    A mother and daughter must confront a terrifying monster when they break down on a deserted road.",91,"Drama",5.4,69,12900,NA,"Bryan Bertino","Zoe Kazan"
49,"Гордость и предубеждение и зомби","    Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.",108,"Action",5.8,45,45010,10.91,"Burr Steers","Lily James"
50,"Морган","    A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.",92,"Action",5.8,48,34557,3.91,"Luke Scott","Kate Mara"
51,"Служанка","    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,"Drama",8.1,84,73889,2.01,"Chan-wook Park","Min-hee Kim"
52,"Последний экспресс","    While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",118,"Action",7.5,72,103745,2.13,"Sang-ho Yeon","Yoo Gong"
53,"Молчание","    In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",161,"Adventure",7.2,79,82721,7.08,"Martin Scorsese","Andrew Garfield"
54,"Неоновый демон","    An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",117,"Horror",6.2,51,70208,1.33,"Nicolas Winding Refn","Elle Fanning"
55,"Обитель зла: Последняя глава","    Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",107,"Action",5.6,49,72891,26.83,"Paul W.S. Anderson","Milla Jovovich"
56,"Глубоководный горизонт","    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",107,"Action",7.1,68,130061,61.28,"Peter Berg","Mark Wahlberg"
57,"Антропоид","    Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",120,"Biography",7.2,59,37239,2.96,"Sean Ellis","Jamie Dornan"
58,"Не дыши","    Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",88,"Crime",7.1,71,181111,89.22,"Fede Alvarez","Stephen Lang"
59,"Великая стена","    In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",103,"Action",6,42,108028,45.54,"Yimou Zhang","Matt Damon"
60,"Тролли","    After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",92,"Animation",6.5,56,61805,153.71,"Mike Mitchell","Anna Kendrick"
61,"Тайная жизнь домашних животных","    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",87,"Animation",6.5,61,157238,368.38,"Chris Renaud","Louis C.K."
62,"Кловерфилд, 10","    After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",103,"Drama",7.2,76,255052,71.9,"Dan Trachtenberg","John Goodman"
63,"Варкрафт","    As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",123,"Action",6.9,32,221718,47.37,"Duncan Jones","Travis Fimmel"
64,"Заклятие 2","    Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.",134,"Horror",7.4,65,187820,102.47,"James Wan","Vera Farmiga"
65,"Плохая партия","    In a desert dystopia, a young woman is kidnapped by cannibals.",118,"Drama",5.3,62,19603,0.18,"Ana Lily Amirpour","Suki Waterhouse"
66,"Выбор","    Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.",111,"Drama",6.6,26,29059,18.71,"Ross Katz","Benjamin Walker"
67,"Свадебный угар","    Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",98,"Adventure",6,51,73096,46.01,"Jake Szymanski","Zac Efron"
68,"Дангал","    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",161,"Action",8.5,NA,115716,12.39,"Nitesh Tiwari","Aamir Khan"
69,"Ниже её губ","    An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.",94,"Drama",5.5,42,7034,NA,"April Mullen","Erika Linder"
70,"Тарзан. Легенда","    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",110,"Action",6.3,44,146824,126.64,"David Yates","Alexander Skarsgard"
71,"Инферно","    When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",121,"Action",6.2,42,135122,34.34,"Ron Howard","Tom Hanks"
72,"Ужасающий","    A maniacal clown terrorizes three young women on Halloween night and everyone else who stands in his way.",82,"Horror",5.6,NA,7559,NA,"Damien Leone","Jenna Kanell"
73,"Тишина","    A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.",82,"Horror",6.6,67,75371,NA,"Mike Flanagan","John Gallagher Jr."
74,"Чудо на Гудзоне","    The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",96,"Biography",7.5,74,196254,125.07,"Clint Eastwood","Tom Hanks"
75,"Белоснежка и охотник 2","    Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",114,"Action",6.1,35,85491,48.39,"Cedric Nicolas-Troyan","Chris Hemsworth"
76,"Основатель","    The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",115,"Biography",7.2,66,92704,12.79,"John Lee Hancock","Michael Keaton"
77,"Ограды","    A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",139,"Drama            ",7.2,79,83896,57.64,"Denzel Washington","Denzel Washington"
78,"День независимости: Возрождение","    Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",120,"Action",5.2,32,152152,103.14,"Roland Emmerich","Liam Hemsworth"
79,"День патриота","    The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",133,"Action",7.4,69,73825,31.89,"Peter Berg","Mark Wahlberg"
80,"Шпионы по соседству","    A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.",105,"Action",5.9,34,50377,14.9,"Greg Mottola","Zach Galifianakis"
81,"Опасная игра Слоун","    In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",132,"Drama",7.5,64,50408,3.44,"John Madden","Jessica Chastain"
82,"Затерянный город Z","    A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.",141,"Adventure",6.6,78,64185,8.58,"James Gray","Charlie Hunnam"
83,"Парни со стволами","    Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",114,"Comedy",7.1,57,149574,43.02,"Todd Phillips","Jonah Hill"
84,"Джек Ричер 2: Никогда не возвращайся","    Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",118,"Action",6.1,47,118222,58.7,"Edward Zwick","Tom Cruise"
85,"Другой мир: Войны крови","    Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",91,"Action",5.8,23,61368,30.35,"Anna Foerster","Kate Beckinsale"
86,"Сноуден","    The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",134,"Biography",7.3,58,115368,21.59,"Oliver Stone","Joseph Gordon-Levitt"
87,"Голем","    In Victorian London, a Scotland Yard inspector hunts down the sadistic killer behind a series of gory, Jack the Ripper-Like murders.",109,"Crime",6.3,63,13695,NA,"Juan Carlos Medina","Douglas Booth"
88,"Призрачная красота","    Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",97,"Drama",6.8,23,76426,30.98,"David Frankel","Will Smith"
89,"Кукла","    An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",97,"Horror",6,42,67147,35.79,"William Brent Bell","Lauren Cohan"
90,"Дедушка легкого поведения","    Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",102,"Comedy            ",5.9,21,98555,35.54,"Dan Mazer","Robert De Niro"
91,"Афера под прикрытием","    A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.",127,"Biography",7,66,60146,15.43,"Brad Furman","Bryan Cranston"
92,"Дивергент, глава 3: За стеной","    After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",120,"Action",5.7,33,92253,66.18,"Robert Schwentke","Shailene Woodley"
93,"Лекарство от здоровья","    An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",146,"Drama",6.4,47,68145,8.11,"Gore Verbinski","Dane DeHaan"
94,"Механик: Воскрешение","    Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to complete three impossible assassinations, and do what he does best: make them look like accidents.",98,"Action",5.7,38,65437,21.2,"Dennis Gansel","Jason Statham"
95,"И грянул шторм","    The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.",117,"Action",6.8,58,55019,27.55,"Craig Gillespie","Chris Pine"
96,"В активном поиске","    A group of young adults navigate love and relationships in New York City.",110,"Comedy",6.1,51,72651,46.81,"Christian Ditter","Dakota Johnson"
97,"Обещание","    Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",133,"Drama",6.1,49,163670,NA,"Terry George","Oscar Isaac"
98,"Поп-звезда: Не переставай, не останавливайся","    When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status.",87,"Comedy",6.7,68,45833,9.39,"Akiva Schaffer","Andy Samberg"
99,"В поисках Дори","    The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",97,"Animation",7.3,77,207969,486.3,"Andrew Stanton","Ellen DeGeneres"
100,"Полный расколбас","    A sausage strives to discover the truth about his existence.",89,"Animation",6.2,66,155708,97.66,"Greg Tiernan","Seth Rogen"
