"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
1,"Сплит","    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.",117,"Horror",7.3,62,333216,138.29,"M. Night Shyamalan","James McAvoy"
2,"Отряд самоубийц","    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.",123,"Action",6.1,40,516451,325.1,"David Ayer","Will Smith"
3,"Фантастические твари и где они обитают","    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.",133,"Adventure",7.3,66,352325,234.04,"David Yates","Eddie Redmayne"
4,"Почти семнадцать","    High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",104,"Comedy",7.4,77,82648,14.26,"Kelly Fremon Craig","Hailee Steinfeld"
5,"До встречи с тобой","    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.",106,"Drama",7.4,51,165924,56.25,"Thea Sharrock","Emilia Clarke"
6,"Зверопой","    In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",108,"Animation",7.1,59,111459,270.4,"Garth Jennings","Matthew McConaughey"
7,"Ла-Ла Ленд","    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",128,"Comedy",8,93,420281,151.1,"Damien Chazelle","Ryan Gosling"
8,"Лунный свет","    A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",111,"Drama            ",7.4,99,218555,27.85,"Barry Jenkins","Mahershala Ali"
9,"Под покровом ночи","    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",116,"Drama",7.5,67,199411,10.64,"Tom Ford","Amy Adams"
10,"Человек - швейцарский нож","    A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.",97,"Adventure",7,64,88480,4.21,"Dan Kwan","Paul Dano"
11,"Дэдпул","    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",108,"Action",8,65,797616,363.07,"Tim Miller","Ryan Reynolds"
12,"Люди Икс: Апокалипсис","    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",144,"Action",7,52,343438,155.44,"Bryan Singer","James McAvoy"
13,"Лев","    A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",118,"Biography",8.1,69,175501,51.74,"Garth Davis","Dev Patel"
14,"Великолепная семерка","    Seven gunmen in the old west gradually come together to help a poor village against savage thieves.",132,"Action",6.9,54,164883,93.43,"Antoine Fuqua","Denzel Washington"
15,"По соображениям совести","    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139,"Biography",8.1,71,354288,67.21,"Mel Gibson","Andrew Garfield"
16,"Изгой-один. Звёздные войны: Истории","    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.",133,"Action",7.8,65,464171,532.18,"Gareth Edwards","Felicity Jones"
