"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
47,"Лев","    A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",118,"Biography",8.1,69,181762,51.74,"Garth Davis","Dev Patel"
48,"Отмель","    A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",86,"Drama",6.3,59,107013,55.12,"Jaume Collet-Serra","Blake Lively"
49,"Дуэль","    A Texas Ranger investigates a series of unexplained deaths in a town called Helena.",110,"Drama",5.8,42,8376,NA,"Kieran Darcy-Smith","Woody Harrelson"
50,"Почти семнадцать","    High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",104,"Comedy",7.3,77,87729,14.26,"Kelly Fremon Craig","Hailee Steinfeld"
51,"И гаснет свет...","    Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",81,"Drama",6.3,58,100786,67.27,"David F. Sandberg","Teresa Palmer"
52,"День независимости: Возрождение","    Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",120,"Action",5.2,32,155430,103.14,"Roland Emmerich","Liam Hemsworth"
53,"Заклятие 2","    Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.",134,"Drama",7.4,65,194764,102.47,"James Wan","Vera Farmiga"
54,"Союзники","    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",124,"Action",7.1,60,125833,40.07,"Robert Zemeckis","Brad Pitt"
55,"Расплата","    As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",128,"Action",7.3,51,233161,86.26,"Gavin O'Connor","Ben Affleck"
56,"Варкрафт","    As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",123,"Action",6.9,32,225689,47.37,"Duncan Jones","Travis Fimmel"
57,"Поезд в Пусан","    While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",118,"Action",7.5,72,109665,2.13,"Sang-ho Yeon","Yoo Gong"
58,"Капитан Фантастик","    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",118,"Comedy",7.9,72,159454,5.88,"Matt Ross","Viggo Mortensen"
59,"Осатаневший","    Five friends are terrorized by a supernatural entity after downloading a mysterious app.",91,"Horror",4.3,NA,2343,NA,"Abel Vang","Saxon Sharbino"
60,"Дангал","    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",161,"Action",8.5,NA,123840,12.39,"Nitesh Tiwari","Aamir Khan"
61,"Не дыши","    Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",88,"Crime",7.1,71,187007,89.22,"Fede Alvarez","Stephen Lang"
62,"Демон внутри","    A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",86,"Horror",6.8,65,76461,NA,"Andre Ovredal","Brian Cox"
63,"Лекарство от здоровья","    An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",146,"Drama",6.4,47,71022,8.11,"Gore Verbinski","Dane DeHaan"
64,"Другой мир: Войны крови","    Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",91,"Action",5.8,23,62994,30.35,"Anna Foerster","Kate Beckinsale"
65,"Великая стена","    In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",103,"Action",6,42,111746,45.54,"Yimou Zhang","Matt Damon"
66,"Джейсон Борн","    The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.",123,"Action",6.6,58,190708,162.43,"Paul Greengrass","Matt Damon"
67,"Ужасающий","    A maniacal clown terrorizes three young women on Halloween night and everyone else who stands in his way.",82,"Horror",5.6,NA,8618,NA,"Damien Leone","Jenna Kanell"
68,"Инферно","    When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",121,"Action",6.2,42,139080,34.34,"Ron Howard","Tom Hanks"
69,"Манчестер у моря","    A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.",137,"Drama            ",7.8,96,214723,47.7,"Kenneth Lonergan","Casey Affleck"
70,"Тролли","    After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",92,"Animation",6.5,56,63337,153.71,"Mike Mitchell","Anna Kendrick"
71,"Молчание","    In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",161,"Adventure",7.2,79,85295,7.08,"Martin Scorsese","Andrew Garfield"
72,"Да здравствует Цезарь!","    A Hollywood fixer in the 1950s works to keep the studio's stars in line.",106,"Comedy",6.3,72,111488,30.08,"Ethan Coen","Josh Brolin"
73,"Кловерфилд, 10","    After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",103,"Drama",7.2,76,260592,71.9,"Dan Trachtenberg","John Goodman"
74,"Дом странных детей Мисс Перегрин","    When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",127,"Adventure",6.7,57,140707,87.24,"Tim Burton","Eva Green"
75,"Новая эра Z","    A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.",111,"Drama",6.7,67,46617,NA,"Colm McCarthy","Sennia Nanua"
76,"Дивергент, глава 3: За стеной","    After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",120,"Action",5.7,33,95368,66.18,"Robert Schwentke","Shailene Woodley"
77,"Свадебный угар","    Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",98,"Adventure",6,51,74880,46.01,"Jake Szymanski","Zac Efron"
78,"Тишина","    A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.",82,"Horror",6.6,67,79265,NA,"Mike Flanagan","John Gallagher Jr."
79,"Выбор","    Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.",111,"Drama",6.6,26,30155,18.71,"Ross Katz","Benjamin Walker"
80,"Полный расколбас","    A sausage strives to discover the truth about his existence.",89,"Animation",6.2,66,159220,97.66,"Greg Tiernan","Seth Rogen"
81,"Кукла","    An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",97,"Horror",6,42,69013,35.79,"William Brent Bell","Lauren Cohan"
82,"Гордость и предубеждение и зомби","    Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.",108,"Action",5.8,45,46212,10.91,"Burr Steers","Lily James"
83,"Полтора шпиона","    After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",107,"Action",6.3,52,139036,127.44,"Rawson Marshall Thurber","Dwayne Johnson"
84,"5-я волна","    Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",112,"Action",5.2,33,90825,34.91,"J Blakeson","Chloe Grace Moretz"
85,"Киану","    When the adorable kitten of an L.A. crime kingpin unexpectedly enters the life of two cousins, they will have to go through tough gangs, pitiless hit-men, and ruthless drug dealers who all claim him, to get him back. How hard can it be?",100,"Action",6.3,63,41598,20.57,"Peter Atencio","Keegan-Michael Key"
86,"Основатель","    The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",115,"Biography",7.2,66,97990,12.79,"John Lee Hancock","Michael Keaton"
87,"Always Be My Maybe","    A makeup artist recovering from a breakup reluctantly begins a relationship with a wealthy playboy.",112,"Romance            ",6.8,NA,245,NA,"Dan Villegas","Gerald Anderson"
88,"Форма голоса","    A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",130,"Animation",8.2,78,25094,NA,"Naoko Yamada","Miyu Irino"
89,"Человек - швейцарский нож","    A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.",97,"Adventure",7,64,91821,4.21,"Dan Kwan","Paul Dano"
90,"Иллюзия обмана 2","    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",129,"Action",6.5,46,216445,65.08,"Jon M. Chu","Jesse Eisenberg"
91,"Соседи. На тропе войны 2","    When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",92,"Comedy            ",5.7,58,102867,55.29,"Nicholas Stoller","Seth Rogen"
92,"Крутые меры","    A young pickpocket and an unruly CIA agent team up on an anti-terrorist mission in France.",92,"Action",6.3,48,30989,0.04,"James Watkins","Idris Elba"
93,"Падение Лондона","    In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",99,"Action",5.9,28,124873,62.68,"Babak Najafi","Gerard Butler"
94,"Скрижали судьбы","    A woman keeps a diary of her extended stay at a mental hospital.",108,"Drama",6.7,37,5131,NA,"Jim Sheridan","Rooney Mara"
95,"Персональный покупатель","    A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.",105,"Drama",6.1,77,30690,1.31,"Olivier Assayas","Kristen Stewart"
96,"Смертоносная земля","    A couple's camping trip turns into a frightening ordeal when they stumble across the scene of a horrific crime.",88,"Horror",5.8,59,6273,NA,"Damien Power","Aaron Pedersen"
97,"Глубоководный горизонт","    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",107,"Action",7.1,68,133399,61.28,"Peter Berg","Mark Wahlberg"
98,"Почему он?","    A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.",111,"Comedy            ",6.2,39,89682,60.27,"John Hamburg","Zoey Deutch"
99,"Преисподняя","    From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger.",148,"Drama",7.1,45,30551,NA,"Martin Koolhoven","Guy Pearce"
100,"Аисты","    Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",87,"Animation",6.8,56,50481,72.68,"Nicholas Stoller","Andy Samberg"
